INFOPUBLDATE,COMPANY_NAME,INFOTITLE,ANNOUNCEMENTLINK,STATUS_BEFORE,FILE_PATH,EXISTED_BEFORE_DELETE,DELETED,NOTE
2025-04-01,湖南省融资担保集团有限公司,湖南省融资担保集团有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-01/241954_20250401_XZ1V.pdf,downloaded,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\湖南省融资担保集团有限公司_2024年年报_d620f4334e.pdf,False,False,target_missing
2025-04-07,华宝都鼎(上海)融资租赁有限公司,华宝都鼎（上海）融资租赁有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-07/240384_20250407_0KL8.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\华宝都鼎(上海)融资租赁有限公司_2024年年报_6ca244bac8.pdf,False,False,target_missing
2025-04-07,华宝都鼎(上海)融资租赁有限公司,华宝都鼎（上海）融资租赁有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-07/240494_20250407_YW2G.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\华宝都鼎(上海)融资租赁有限公司_2024年年报_b171cec07b.pdf,False,False,target_missing
2025-04-07,华宝都鼎(上海)融资租赁有限公司,华宝都鼎（上海）融资租赁有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-07/241014_20250407_O06Z.pdf,downloaded,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\华宝都鼎(上海)融资租赁有限公司_2024年年报_1156decf72.pdf,False,False,target_missing
2025-04-07,华宝都鼎(上海)融资租赁有限公司,华宝都鼎（上海）融资租赁有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-07/240606_20250407_DXM6.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\华宝都鼎(上海)融资租赁有限公司_2024年年报_4adf46d0d2.pdf,False,False,target_missing
2025-04-08,深圳市龙光控股有限公司,深圳市龙光控股有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-08/163012_20250408_J98H.pdf,downloaded,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\深圳市龙光控股有限公司_2024年年报_48cd6bad2d.pdf,False,False,target_missing
2025-04-08,深圳市龙光控股有限公司,深圳市龙光控股有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-08/163100_20250408_1HIO.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\深圳市龙光控股有限公司_2024年年报_8c3ae13695.pdf,False,False,target_missing
2025-04-08,深圳市龙光控股有限公司,深圳市龙光控股有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-08/163625_20250408_MQPE.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\深圳市龙光控股有限公司_2024年年报_964ed51b9e.pdf,False,False,target_missing
2025-04-08,深圳市龙光控股有限公司,深圳市龙光控股有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-08/175090_20250408_0C9Z.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\深圳市龙光控股有限公司_2024年年报_d87341b4e3.pdf,False,False,target_missing
2025-04-08,深圳市龙光控股有限公司,深圳市龙光控股有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-08/188305_20250408_AD9R.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\深圳市龙光控股有限公司_2024年年报_b9e504943a.pdf,False,False,target_missing
2025-04-08,深圳市龙光控股有限公司,深圳市龙光控股有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-08/188619_20250408_HQ0C.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\深圳市龙光控股有限公司_2024年年报_dc3c052ece.pdf,False,False,target_missing
2025-04-15,鸿商产业控股集团有限公司,鸿商产业控股集团有限公司公司债券年度报告（2024年）,http://static.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-15/185977_20250415_IYU4.pdf,downloaded,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\鸿商产业控股集团有限公司_2024年年报_f29683b93a.pdf,False,False,target_missing
2025-04-21,上海地产(集团)有限公司,上海地产（集团）有限公司公司债券年度报告（2024年）,http://www.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2025-04-21/152544_20250421_TS4M.pdf,archived_duplicate,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\重复PDF_按哈希移出\上海地产(集团)有限公司_2024年年报_2956fdf035.pdf,False,False,target_missing
