COMPANY_NAME,FILE_SIZE,KEPT_INFOTITLE,KEPT_FILE,KEPT_ANNOUNCEMENTLINK,REMOVED_INFOTITLE,REMOVED_FILE,REMOVED_ANNOUNCEMENTLINK,REMOVED_FILE_PATH,EXISTED_BEFORE_DELETE,DELETED,NOTE,KEEP_IS_AUDIT_REPORT
上海浦东发展(集团)有限公司,1656243.0,上海浦东发展（集团）有限公司公司债券2024年年度报告,上海浦东发展(集团)有限公司_2024年年报_005a5ff3a7.pdf,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-28/185140_20250428_TYEG.pdf,上海浦东发展（集团）有限公司公司债券2024年年度报告,上海浦东发展(集团)有限公司_2024年年报_09213e964d.pdf,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-28/163011_20250428_4GJ5.pdf,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\上海浦东发展(集团)有限公司_2024年年报_09213e964d.pdf,True,True,deleted,False
上海浦东土地控股(集团)有限公司,1609233.0,上海浦东土地控股（集团）有限公司公司债券2024年年度报告,上海浦东土地控股(集团)有限公司_2024年年报_1ac00cf37c.pdf,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-14/242113_20250414_VY5T.pdf,上海浦东土地控股（集团）有限公司公司债券2024年年度报告,上海浦东土地控股(集团)有限公司_2024年年报_32d56c9786.pdf,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-14/175461_20250414_6DGR.pdf,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\上海浦东土地控股(集团)有限公司_2024年年报_32d56c9786.pdf,True,True,deleted,False
上海浦东科创集团有限公司,1759766.0,上海浦东科创集团有限公司2024年年度报告,上海浦东科创集团有限公司_2024年年报_948c34dd59.pdf,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-29/163621_20250429_D3VZ.pdf,上海浦东科创集团有限公司2024年年度报告,上海浦东科创集团有限公司_2024年年报_c8e050e6be.pdf,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-29/163622_20250429_5KXH.pdf,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\上海浦东科创集团有限公司_2024年年报_c8e050e6be.pdf,True,True,deleted,False
上饶市广信城投集团有限公司,1417770.0,上饶市广信城投集团有限公司2024年年度报告,上饶市广信城投集团有限公司_2024年年报_768ebd4e20.pdf,http://www.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2025-04-30/184721_20250430_NYE6.pdf,上饶市广信城投集团有限公司2024年年度报告,上饶市广信城投集团有限公司_2024年年报_8d83d0952d.pdf,http://www.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2025-04-30/139407_20250430_RO3O.pdf,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\上饶市广信城投集团有限公司_2024年年报_8d83d0952d.pdf,True,True,deleted,False
中交城市投资控股有限公司公司债券,10387.0,中交城市投资控股有限公司公司债券2024年度报告,中交城市投资控股有限公司公司债券_2024年年报_05d3017a70.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/c8c2b811-5419-49a5-a53d-c8e2ec09ed2d.PDF,中交城市投资控股有限公司公司债券2024年度报告,中交城市投资控股有限公司公司债券_2024年年报_1a9e831cd5.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/7e1434d8-886f-429b-b982-cb0064309f8a.PDF,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\中交城市投资控股有限公司公司债券_2024年年报_1a9e831cd5.pdf,True,True,deleted,False
中交城市投资控股有限公司公司债券,10387.0,中交城市投资控股有限公司公司债券2024年度报告,中交城市投资控股有限公司公司债券_2024年年报_05d3017a70.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/c8c2b811-5419-49a5-a53d-c8e2ec09ed2d.PDF,中交城市投资控股有限公司公司债券2024年度报告,中交城市投资控股有限公司公司债券_2024年年报_767fb457cd.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/36230989-7a7c-435c-993a-1098e4baf4f4.PDF,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\中交城市投资控股有限公司公司债券_2024年年报_767fb457cd.pdf,True,True,deleted,False
中原豫资投资控股集团有限公司公司债券,10387.0,中原豫资投资控股集团有限公司公司债券2024年度报告,中原豫资投资控股集团有限公司公司债券_2024年年报_599fd2a732.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/4a0a61d3-b78c-410d-8b2d-c791ce6cb9fe.PDF,中原豫资投资控股集团有限公司公司债券2024年度报告,中原豫资投资控股集团有限公司公司债券_2024年年报_b6279cf55d.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/4e388c70-e9f7-49f9-afda-76f8cddfb801.PDF,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\中原豫资投资控股集团有限公司公司债券_2024年年报_b6279cf55d.pdf,True,True,deleted,False
中原豫资投资控股集团有限公司公司债券,10387.0,中原豫资投资控股集团有限公司公司债券2024年度报告,中原豫资投资控股集团有限公司公司债券_2024年年报_599fd2a732.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/4a0a61d3-b78c-410d-8b2d-c791ce6cb9fe.PDF,中原豫资投资控股集团有限公司公司债券2024年度报告,中原豫资投资控股集团有限公司公司债券_2024年年报_cba32b9966.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/ac215856-87bd-4321-814b-62e8fd03e750.PDF,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\中原豫资投资控股集团有限公司公司债券_2024年年报_cba32b9966.pdf,True,True,deleted,False
中国中化股份有限公司,2340829.0,中国中化股份有限公司公司债券2024年年度报告,中国中化股份有限公司_2024年年报_0388fde97b.pdf,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-30/115554_20250430_7PGZ.pdf,中国中化股份有限公司公司债券2024年年度报告,中国中化股份有限公司_2024年年报_373d2dff2c.pdf,http://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2025-04-30/242870_20250430_R17R.pdf,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\中国中化股份有限公司_2024年年报_373d2dff2c.pdf,True,True,deleted,False
中国国家铁路集团有限公司,10387.0,中国国家铁路集团有限公司2024年年度报告(深交所),中国国家铁路集团有限公司_2024年年报_08ff9aac5e.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/c041ebbb-c32d-4a9c-b2f6-48a4cccbbfe1.PDF,中国国家铁路集团有限公司2024年年度报告(深交所),中国国家铁路集团有限公司_2024年年报_fffacfc1b7.pdf,http://disc.static.szse.cn/download/disc/disk03/finalpage/2025-04-30/c721a0c0-63be-41cb-bbfd-f1378f6719b8.PDF,C:\baidudisk\BaiduSyncdisk\bondclaw\financialanalysis\2024年财报\output\2024年年报PDF\中国国家铁路集团有限公司_2024年年报_fffacfc1b7.pdf,True,True,deleted,False
